Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-25795,2023-01-01,2023-01-03,Second Class,CUST-8424,Home Office,United States,New York,Texas,West,Furniture,Storage,Product D,701.09,8,0.33,-97.29
CA-10860,2023-01-02,2023-01-04,Standard Class,CUST-1933,Corporate,United States,Los Angeles,New York,Central,Furniture,Binders,Product B,641.76,1,0.03,-82.62
CA-86820,2023-01-03,2023-01-05,First Class,CUST-4598,Home Office,United States,Phoenix,New York,Central,Office Supplies,Storage,Product B,327.36,4,0.26,261.59
CA-64886,2023-01-04,2023-01-06,First Class,CUST-2980,Home Office,United States,Houston,Texas,South,Office Supplies,Chairs,Product D,102.58,4,0.25,111.03
CA-16265,2023-01-05,2023-01-07,First Class,CUST-4056,Consumer,United States,Phoenix,New York,Central,Office Supplies,Chairs,Product B,432.84,5,0.07,194.36
CA-92386,2023-01-06,2023-01-08,Standard Class,CUST-9984,Home Office,United States,Houston,New York,Central,Office Supplies,Chairs,Product C,137.47,7,0.46,235.4
CA-47194,2023-01-07,2023-01-09,Standard Class,CUST-1791,Consumer,United States,Phoenix,Texas,Central,Furniture,Chairs,Product C,948.15,8,0.22,279.83
CA-97498,2023-01-08,2023-01-10,Second Class,CUST-6390,Consumer,United States,Chicago,Illinois,Central,Office Supplies,Phones,Product B,480.42,6,0.5,247.74
CA-54131,2023-01-09,2023-01-11,Second Class,CUST-7635,Consumer,United States,Los Angeles,Illinois,South,Office Supplies,Storage,Product D,324.09,1,0.21,93.32
CA-70263,2023-01-10,2023-01-12,Second Class,CUST-3255,Corporate,United States,Houston,California,West,Furniture,Tables,Product A,768.64,7,0.3,34.39
CA-26023,2023-01-11,2023-01-13,Same Day,CUST-4610,Corporate,United States,New York,New York,East,Technology,Storage,Product D,502.97,3,0.05,-38.2
CA-51090,2023-01-12,2023-01-14,First Class,CUST-2607,Consumer,United States,Los Angeles,Texas,Central,Technology,Phones,Product A,316.93,6,0.23,60.13
CA-77221,2023-01-13,2023-01-15,First Class,CUST-6179,Home Office,United States,New York,New York,West,Furniture,Chairs,Product D,813.85,8,0.12,46.6
CA-74820,2023-01-14,2023-01-16,Second Class,CUST-7573,Consumer,United States,Los Angeles,Arizona,Central,Technology,Phones,Product B,868.48,7,0.42,123.83
CA-10769,2023-01-15,2023-01-17,First Class,CUST-1984,Home Office,United States,Los Angeles,New York,Central,Furniture,Binders,Product C,676.28,6,0.39,166.2
CA-69735,2023-01-16,2023-01-18,Second Class,CUST-6776,Consumer,United States,Phoenix,New York,East,Office Supplies,Binders,Product D,56.49,9,0.41,291.33
CA-72955,2023-01-17,2023-01-19,Same Day,CUST-4676,Home Office,United States,Houston,Illinois,East,Office Supplies,Storage,Product A,570.66,9,0.36,191.35
CA-74925,2023-01-18,2023-01-20,Same Day,CUST-4380,Corporate,United States,Houston,Texas,East,Technology,Storage,Product C,765.66,1,0.42,157.5
CA-77969,2023-01-19,2023-01-21,Standard Class,CUST-9711,Home Office,United States,Los Angeles,New York,Central,Office Supplies,Tables,Product A,145.14,1,0.1,34.04
CA-15311,2023-01-20,2023-01-22,Same Day,CUST-9782,Consumer,United States,Chicago,Illinois,Central,Technology,Tables,Product B,236.38,1,0.23,-86.2
CA-93104,2023-01-21,2023-01-23,Second Class,CUST-2050,Corporate,United States,Chicago,California,Central,Technology,Binders,Product C,883.67,8,0.35,15.25
CA-63707,2023-01-22,2023-01-24,Same Day,CUST-4633,Home Office,United States,New York,Illinois,East,Office Supplies,Chairs,Product A,29.92,7,0.32,207.38
CA-95305,2023-01-23,2023-01-25,Standard Class,CUST-7342,Home Office,United States,New York,Illinois,South,Office Supplies,Phones,Product D,755.2,3,0.36,-17.89
CA-38693,2023-01-24,2023-01-26,First Class,CUST-1959,Home Office,United States,Phoenix,Illinois,West,Technology,Tables,Product B,479.04,2,0.11,184.88
CA-81932,2023-01-25,2023-01-27,Second Class,CUST-7059,Home Office,United States,Los Angeles,New York,South,Office Supplies,Tables,Product B,452.3,4,0.05,131.91
CA-35658,2023-01-26,2023-01-28,First Class,CUST-9884,Home Office,United States,New York,New York,Central,Furniture,Chairs,Product B,17.03,3,0.46,-31.26
CA-94478,2023-01-27,2023-01-29,Standard Class,CUST-6655,Corporate,United States,New York,California,Central,Office Supplies,Chairs,Product D,821.2,7,0.28,4.65
CA-28431,2023-01-28,2023-01-30,Standard Class,CUST-5473,Corporate,United States,Los Angeles,Arizona,South,Office Supplies,Storage,Product D,366.23,8,0.08,98.52
CA-12747,2023-01-29,2023-01-31,Standard Class,CUST-3946,Corporate,United States,Phoenix,Arizona,Central,Furniture,Phones,Product C,545.36,6,0.4,67.35
CA-69150,2023-01-30,2023-02-01,First Class,CUST-8725,Corporate,United States,New York,Arizona,West,Office Supplies,Chairs,Product D,680.53,3,0.46,211.43
CA-75725,2023-01-31,2023-02-02,First Class,CUST-1526,Consumer,United States,Phoenix,California,Central,Office Supplies,Tables,Product C,705.6,6,0.08,193.76
CA-94654,2023-02-01,2023-02-03,First Class,CUST-4224,Corporate,United States,Houston,Arizona,West,Technology,Tables,Product B,956.42,2,0.41,129.83
CA-45773,2023-02-02,2023-02-04,First Class,CUST-2875,Home Office,United States,Phoenix,Arizona,South,Office Supplies,Binders,Product C,536.03,7,0.47,228.91
CA-77435,2023-02-03,2023-02-05,Standard Class,CUST-2763,Home Office,United States,Chicago,Illinois,South,Office Supplies,Chairs,Product A,405.72,7,0.47,125.07
CA-66886,2023-02-04,2023-02-06,Standard Class,CUST-9712,Corporate,United States,Chicago,New York,Central,Furniture,Storage,Product B,954.17,4,0.46,285.76
CA-76803,2023-02-05,2023-02-07,Second Class,CUST-6797,Home Office,United States,Phoenix,New York,West,Technology,Phones,Product B,645.69,8,0.27,-13.11
CA-41551,2023-02-06,2023-02-08,Second Class,CUST-8099,Corporate,United States,Chicago,Illinois,Central,Technology,Storage,Product C,305.17,4,0.18,185.65
CA-21394,2023-02-07,2023-02-09,First Class,CUST-6109,Home Office,United States,Houston,Illinois,East,Technology,Tables,Product B,135.2,7,0.0,47.98
